env_step,episode_reward,epoch,rollout_length,step
281999.0,22939.58274812329,281.0,23.0,282
282999.0,23858.848318750086,282.0,23.0,283
283999.0,22836.21580879717,283.0,23.0,284
284999.0,23982.779533090303,284.0,23.0,285
285999.0,23758.486394085587,285.0,23.0,286
286999.0,24312.549334271473,286.0,23.0,287
287999.0,22753.864691730094,287.0,23.0,288
288999.0,23304.966567099622,288.0,24.0,289
289999.0,23972.628179535986,289.0,24.0,290
290999.0,22176.614469303815,290.0,24.0,291
291999.0,23365.143661494178,291.0,24.0,292
292999.0,25361.21667936095,292.0,24.0,293
293999.0,26124.711308193568,293.0,24.0,294
294999.0,25536.092030524713,294.0,24.0,295
295999.0,24646.761463534203,295.0,24.0,296
296999.0,24185.670854485183,296.0,24.0,297
297999.0,26552.653756988635,297.0,24.0,298
298999.0,24667.697522026036,298.0,24.0,299
299999.0,18712.583966058584,299.0,25.0,300
